rating1,type,sentence1,modal2,reverse_sent_order,percent_window,rating2,workerid,rating_other,image,condition,sentence2,Answer.condition,Answer.time_in_minutes,modal1
0.06,aisleangry,You'll probably get an aisle seat,might,1,75,0.64,2,0.30000000000000004,./stim/images/prob_75_3.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.56,window_angry,You'll probably get a window seat,might,1,75,0.38,2,0.06000000000000005,./stim/images/prob_75_5.png,,You might get a window seat,undefined,14.425166666666666,probably
0.5,aisleangry,You'll probably get an aisle seat,might,1,40,0.33,2,0.16999999999999993,./stim/images/prob_40_3.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.3,aisleangry,You'll probably get an aisle seat,might,1,50,0.49,2,0.20999999999999996,./stim/images/prob_50_1.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.91,window_angry,You'll probably get a window seat,might,1,100,0.09,2,1.1102230246251565e-16,./stim/images/prob_100_2.png,,You might get a window seat,undefined,14.425166666666666,probably
0.64,window_angry,You'll probably get a window seat,might,1,60,0.29,2,0.07000000000000006,./stim/images/prob_60_5.png,,You might get a window seat,undefined,14.425166666666666,probably
0.51,aisleangry,You'll probably get an aisle seat,might,1,25,0.2,2,0.2899999999999999,./stim/images/prob_25_3.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.65,window_angry,You'll probably get a window seat,might,1,90,0.27,2,0.07999999999999985,./stim/images/prob_90_4.png,,You might get a window seat,undefined,14.425166666666666,probably
0.25,window_angry,You'll probably get a window seat,might,1,60,0.64,2,0.10999999999999988,./stim/images/prob_60_4.png,,You might get a window seat,undefined,14.425166666666666,probably
0.27,window_angry,You'll probably get a window seat,might,1,50,0.49,2,0.24,./stim/images/prob_50_4.png,,You might get a window seat,undefined,14.425166666666666,probably
0.1,window_angry,You'll probably get a window seat,might,1,25,0.56,2,0.33999999999999986,./stim/images/prob_25_4.png,,You might get a window seat,undefined,14.425166666666666,probably
0.07,aisleangry,You'll probably get an aisle seat,might,1,50,0.75,2,0.18000000000000005,./stim/images/prob_50_2.png,,You might get an aisle seat,undefined,14.425166666666666,probably
