order,prob_rating,audio,mood,check1,workerid,catch_trial,text,condtion,modal,seat,check2,request,image
1,0.22,./stim/audio/angry_might2_s1.mp3,pessimist,./stim/images/exposure_10_4.png,27,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_4.png,./stim/text/text-2.png,./stim/images/exposure_75_4.png
0,0.59,./stim/audio/angry_probably1_s1.mp3,pessimist,./stim/images/exposure_60_9.png,27,1,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_9.png
0,1,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_5.png,28,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_5.png
1,0.49,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/prob_100_1.png,28,1,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_2.png,./stim/text/text-1.png,./stim/images/exposure_60_2.png
0,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,28,0,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_9.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/exposure_60_5.png,28,0,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.24,./stim/audio/angry_probably2_s2.mp3,pessimist,./stim/images/exposure_40_2.png,28,1,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_2.png
0,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,28,1,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_2.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.43,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_9.png,28,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_9.png
0,0.18,./stim/audio/angry_might1_s2.mp3,pessimist,./stim/images/exposure_25_9.png,28,0,You might get one.,6,might,a window seat (red),./stim/images/exposure_90_9.png,./stim/text/text-1.png,./stim/images/exposure_25_9.png
