image,text,audio,workerid,condtion,check2,prob_rating,modal,order,mood,request,seat,check1,catch_trial
./stim/images/exposure_90_2.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,8,5,./stim/images/exposure_90_2.png,0.84,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_2.png,0
./stim/images/exposure_90_2.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,8,5,./stim/images/exposure_90_2.png,0.84,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_2.png,0
./stim/images/exposure_90_6.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,8,5,./stim/images/exposure_25_6.png,0.89,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_6.png,0
./stim/images/exposure_90_6.png,You'll probably get one.,./stim/audio/happy_probably1_s1.mp3,8,5,./stim/images/exposure_25_6.png,0.89,probably,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_6.png,0
./stim/images/exposure_10_10.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,8,5,./stim/images/exposure_75_10.png,0.85,probably,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_10_10.png,1
./stim/images/exposure_10_10.png,You'll probably get one.,./stim/audio/happy_probably2_s1.mp3,8,5,./stim/images/exposure_75_10.png,0.85,probably,0,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_10_10.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,8,5,./stim/images/prob_100_1.png,0.92,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_10.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s1.mp3,8,5,./stim/images/prob_100_1.png,0.92,bare,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_10.png,1
./stim/images/prob_100_1.png,You'll get one.,./stim/audio/happy_bare_s2.mp3,9,5,./stim/images/exposure_60_4.png,0.09,bare,0,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_40_5.png,You might get one.,./stim/audio/happy_might2_s2.mp3,9,5,./stim/images/exposure_40_5.png,0.51,might,1,optimist,./stim/text/text-2.png,an aisle seat (blue),./stim/images/prob_100_1.png,0
./stim/images/exposure_60_5.png,You might get one.,./stim/audio/happy_might1_s2.mp3,9,5,./stim/images/exposure_60_5.png,0.44,might,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/images/exposure_90_4.png,You'll probably get one.,./stim/audio/happy_probably1_s2.mp3,9,5,./stim/images/exposure_90_4.png,0.29,probably,1,optimist,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_4.png,0
