request,workerid,order,prob_rating,audio,catch_trial,mood,condtion,modal,text,check1,image,check2,seat
./stim/text/text-1.png,2,0,0.68,./stim/audio/angry_bare_s1.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_10.png,a window seat (red)
./stim/text/text-1.png,2,0,0.54,./stim/audio/angry_bare_s1.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_9.png,a window seat (red)
./stim/text/text-2.png,2,0,0.69,./stim/audio/angry_might2_s1.mp3,1,pessimist,3,might,You might get one.,./stim/images/exposure_40_7.png,./stim/images/exposure_40_7.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-1.png,2,1,0.81,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_9.png,./stim/images/exposure_90_9.png,./stim/images/exposure_90_9.png,a window seat (red)
./stim/text/text-1.png,2,1,0.8,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_10.png,./stim/images/exposure_90_10.png,./stim/images/exposure_90_10.png,a window seat (red)
./stim/text/text-1.png,2,0,0.79,./stim/audio/angry_probably1_s1.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_7.png,./stim/images/exposure_90_7.png,./stim/images/exposure_25_7.png,a window seat (red)
./stim/text/text-2.png,2,1,0.9,./stim/audio/angry_probably2_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_75_10.png,./stim/images/exposure_10_10.png,./stim/images/exposure_10_10.png,an aisle seat (blue)
./stim/text/text-1.png,2,1,0.88,./stim/audio/angry_bare_s1.mp3,1,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,3,1,0.98,./stim/audio/angry_bare_s1.mp3,1,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_8.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,3,0,0.89,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_9.png,./stim/images/exposure_90_9.png,./stim/images/exposure_25_9.png,a window seat (red)
./stim/text/text-2.png,3,0,0.91,./stim/audio/angry_probably2_s1.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_10_8.png,./stim/images/exposure_10_8.png,./stim/images/exposure_75_8.png,an aisle seat (blue)
./stim/text/text-2.png,3,0,0.9,./stim/audio/angry_probably2_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_10_7.png,./stim/images/exposure_10_7.png,./stim/images/exposure_75_7.png,an aisle seat (blue)
./stim/text/text-2.png,3,0,0.55,./stim/audio/angry_might2_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_40_7.png,./stim/images/exposure_40_7.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-1.png,3,1,0.99,./stim/audio/angry_bare_s1.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_9.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,3,1,0.59,./stim/audio/angry_might2_s1.mp3,1,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_8.png,./stim/images/exposure_40_8.png,an aisle seat (blue)
./stim/text/text-1.png,3,0,0.9,./stim/audio/angry_probably1_s1.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_8.png,./stim/images/exposure_90_8.png,./stim/images/exposure_25_8.png,a window seat (red)
./stim/text/text-2.png,3,0,0.56,./stim/audio/angry_might2_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_40_9.png,./stim/images/exposure_40_9.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-1.png,3,0,0.5,./stim/audio/angry_might1_s1.mp3,1,pessimist,3,might,You might get one.,./stim/images/exposure_60_8.png,./stim/images/exposure_60_8.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,3,0,0.57,./stim/audio/angry_might1_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_60_7.png,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,3,0,0.91,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_7.png,./stim/images/exposure_90_7.png,./stim/images/exposure_25_7.png,a window seat (red)
