order,seat,text,mood,image,modal,prob_rating,check2,request,check1,condtion,workerid,catch_trial,audio
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.99,./stim/images/exposure_60_4.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,3,0,./stim/audio/control_bare_s1.mp3
0,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_4.png,probably,0.95,./stim/images/exposure_25_4.png,./stim/text/text-1.png,./stim/images/exposure_90_4.png,4,3,0,./stim/audio/control_probably1_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_4.png,might,0.63,./stim/images/exposure_40_4.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,3,0,./stim/audio/control_might2_s1.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_4.png,probably,0.94,./stim/images/exposure_10_4.png,./stim/text/text-2.png,./stim/images/exposure_75_4.png,4,3,0,./stim/audio/control_probably2_s1.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_10.png,might,0.74,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_10.png,4,4,1,./stim/audio/control_might2_s1.mp3
0,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_10.png,probably,0.9,./stim/images/exposure_75_10.png,./stim/text/text-2.png,./stim/images/exposure_10_10.png,4,4,1,./stim/audio/control_probably2_s1.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.06,./stim/images/exposure_60_10.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,4,1,./stim/audio/control_bare_s1.mp3
0,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_1.png,probably,0.8,./stim/images/exposure_75_1.png,./stim/text/text-2.png,./stim/images/exposure_10_1.png,4,4,0,./stim/audio/control_probably2_s1.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_10.png,might,0.5,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_10.png,4,4,1,./stim/audio/control_might1_s1.mp3
1,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_3.png,4,4,0,./stim/audio/control_bare_s1.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_1.png,might,0.52,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_1.png,4,4,0,./stim/audio/control_might1_s1.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_3.png,probably,0.85,./stim/images/exposure_90_3.png,./stim/text/text-1.png,./stim/images/exposure_25_3.png,4,4,0,./stim/audio/control_probably1_s1.mp3
0,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_1.png,probably,0.82,./stim/images/exposure_25_1.png,./stim/text/text-1.png,./stim/images/exposure_90_1.png,4,4,0,./stim/audio/control_probably1_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_1.png,might,0.61,./stim/images/exposure_40_1.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,4,0,./stim/audio/control_might2_s1.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.99,./stim/images/exposure_60_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,4,0,./stim/audio/control_bare_s1.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_3.png,might,0.87,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_3.png,4,4,0,./stim/audio/control_might2_s1.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_10.png,probably,0.85,./stim/images/exposure_90_10.png,./stim/text/text-1.png,./stim/images/exposure_25_10.png,4,4,1,./stim/audio/control_probably1_s1.mp3
1,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.17,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_4.png,4,5,0,./stim/audio/control_bare_s1.mp3
0,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_10.png,probably,0.89,./stim/images/exposure_75_10.png,./stim/text/text-2.png,./stim/images/exposure_10_10.png,4,5,1,./stim/audio/control_probably2_s1.mp3
1,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.93,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_10.png,4,5,1,./stim/audio/control_bare_s1.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.97,./stim/images/exposure_60_2.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,5,0,./stim/audio/control_bare_s1.mp3
1,a window seat (red),You might get one.,control,./stim/images/exposure_60_2.png,might,0.54,./stim/images/exposure_60_2.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,5,0,./stim/audio/control_might1_s1.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_2.png,probably,0.9,./stim/images/exposure_10_2.png,./stim/text/text-2.png,./stim/images/exposure_75_2.png,4,5,0,./stim/audio/control_probably2_s1.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_2.png,probably,0.91,./stim/images/exposure_90_2.png,./stim/text/text-1.png,./stim/images/exposure_25_2.png,4,5,0,./stim/audio/control_probably1_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_4.png,might,0.7,./stim/images/exposure_40_4.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,5,0,./stim/audio/control_might2_s1.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_10.png,probably,0.89,./stim/images/exposure_90_10.png,./stim/text/text-1.png,./stim/images/exposure_25_10.png,4,5,1,./stim/audio/control_probably1_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_10.png,might,0.53,./stim/images/exposure_40_10.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,5,1,./stim/audio/control_might2_s1.mp3
0,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_4.png,probably,0.9,./stim/images/exposure_25_4.png,./stim/text/text-1.png,./stim/images/exposure_90_4.png,4,5,0,./stim/audio/control_probably1_s1.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_10.png,might,0.65,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_10.png,4,5,1,./stim/audio/control_might1_s1.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_2.png,might,0.48,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_2.png,4,5,0,./stim/audio/control_might2_s1.mp3
0,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_10.png,probably,0.92,./stim/images/exposure_25_10.png,./stim/text/text-1.png,./stim/images/exposure_90_10.png,4,6,1,./stim/audio/control_probably1_s1.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.99,./stim/images/exposure_60_10.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,6,1,./stim/audio/control_bare_s1.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_10.png,might,0.7,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_10.png,4,6,1,./stim/audio/control_might1_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_10.png,might,0.42,./stim/images/exposure_40_10.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,6,1,./stim/audio/control_might2_s1.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_10.png,probably,0.04,./stim/images/exposure_10_10.png,./stim/text/text-2.png,./stim/images/exposure_75_10.png,4,6,1,./stim/audio/control_probably2_s1.mp3
